Feature,Importance
rain_history_sum,0.4396873602038077
day_of_year,0.15206899622179362
humidity,0.0829741486022894
wind_speed,0.04772699044927405
pressure,0.03641849643921153
dew_point,0.029635928585279386
temp_range,0.029554931681752987
temp_avg,0.028775992673439353
temp_max,0.026942344089913237
temp_dew_diff,0.02361728291300618
temp_min,0.023559927485121996
day_of_week,0.017400577988539907
wind_direction_cos,0.012366015396066079
wind_direction_sin,0.012236619505829592
season_Winter,0.006345009719683596
rain_3days_ago,0.005574463545692063
month_5,0.005191037382519805
location_Hat_Yai,0.0028016254246683563
location_Khon_Kaen,0.0027769117857160534
rain_1day_ago,0.002400189295696333
rain_2days_ago,0.002338361166890123
location_Chiang_Mai,0.0022018397734803624
month_2,0.002123741945150541
is_weekend,0.0015109823357478118
month_11,0.0010210756572854806
location_Phuket,0.0008627261669656912
month_4,0.0007790434079160544
month_3,0.0006875665294572293
month_12,0.00030254672932777715
season_Summer,0.00011726689847785814
month_6,0.0
month_8,0.0
month_7,0.0
month_10,0.0
month_9,0.0
